date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2023-01-15,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,"$1,184,612.52","$113,551.85",$155.48,$347.50,"7,619","1,152",8,0,82.67%,5.60%,post,Musical
2023-01-15,A Strange Loop,Lyceum Theatre,"$955,590.80","$461,484.60",$131.88,$308.00,"7,246",912,8,0,99.31%,3.02%,post,Musical
2023-01-15,Aladdin,New Amsterdam Theatre,"$1,245,594.00","-$173,448.30",$92.43,$215.50,"13,476","1,727",8,0,97.54%,-1.58%,post,Musical
2023-01-15,Between Riverside and Crazy,Helen Hayes Theater,"$307,645.75","$167,727.00",$73.01,$197.00,"4,214",579,8,0,90.98%,0.52%,post,Play
2023-01-15,Chicago,Ambassador Theatre,"$627,372.80","-$132,654.00",$91.68,$197.00,"6,843","1,080",7,0,90.52%,-3.82%,post,Musical
2023-01-15,Death of a Salesman,Hudson Theatre,"$914,406.75","$197,794.25",$120.16,$299.00,"7,610",975,8,0,97.56%,7.43%,post,Play
2023-01-15,Funny Girl,August Wilson Theatre,"$2,017,877.25","-$44,861.85",$210.68,$0.00,"9,578","1,219",8,0,98.22%,0.14%,post,Musical
2023-01-15,Hadestown,Walter Kerr Theatre,"$840,941.00","$6,549.50",$113.98,$0.00,"7,378",918,8,0,100.46%,-0.33%,post,Musical
2023-01-15,Hamilton,Richard Rodgers Theatre,"$2,078,621.00","-$42,190.00",$194.99,$449.00,"10,660","1,324",8,0,100.64%,-0.17%,post,Musical
2023-01-15,Harry Potter and the Cursed Child,Lyric Theatre,"$1,494,402.00","-$155,350.50",$123.21,$399.00,"12,129","1,622",8,0,93.47%,-6.42%,post,Play
2023-01-15,Kimberly Akimbo,Booth Theatre,"$615,478.05","$33,040.05",$103.62,$263.00,"5,940",773,8,0,96.05%,1.40%,post,Musical
2023-01-15,Leopoldstadt,Longacre Theatre,"$870,144.68","$61,920.78",$132.32,$347.00,"6,576","1,075",8,0,76.47%,7.98%,post,Play
2023-01-15,Mike Birbiglia: The Old Man & the Pool,Vivian Beaumont Theater,"$762,802.50","$109,128.50",$90.70,$397.00,"8,410","1,079",8,0,97.43%,7.72%,post,Play
2023-01-15,MJ The Musical,Neil Simon Theatre,"$1,719,214.00","-$21,890.00",$161.73,$250.00,"10,630","1,387",8,0,95.80%,-4.63%,post,Musical
2023-01-15,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,335,062.50","-$8,611.00",$129.42,$0.00,"10,316","1,300",8,0,99.19%,-0.42%,post,Musical
2023-01-15,Ohio State Murders,James Earl Jones Theatre,"$641,976.50","$280,735.00",$80.21,$223.00,"8,004","1,070",8,0,93.50%,33.61%,post,Play
2023-01-15,Pictures From Home,Studio 54,"$283,572.00",$0.00,$94.24,$297.00,"3,009",807,0,4,93.22%,0.00%,post,Play
2023-01-15,SIX: The Musical,Lena Horne Theatre,"$1,157,556.00","-$63,879.00",$146.10,$249.00,"7,923","1,031",8,0,96.06%,-2.22%,post,Musical
2023-01-15,Some Like It Hot,Sam S. Shubert Theatre,"$921,894.22","$61,054.87",$106.54,$257.00,"8,653","1,448",8,0,74.70%,-2.35%,post,Musical
2023-01-15,Take Me Out,Gerald Schoenfeld Theatre,"$529,303.00","$115,684.50",$87.53,$297.00,"6,047","1,061",8,0,71.24%,9.58%,post,Play
2023-01-15,The Book of Mormon,Eugene O'Neill Theatre,"$1,059,684.03","-$67,542.08",$126.67,$0.00,"8,366","1,066",8,0,98.10%,-2.72%,post,Musical
2023-01-15,The Collaboration,Samuel J. Friedman Theatre,"$351,840.00","$53,908.00",$83.02,$279.00,"4,238",637,8,0,83.16%,5.06%,post,Play
2023-01-15,The Lion King,Minskoff Theatre,"$1,885,831.00","-$112,463.00",$144.94,$199.00,"13,011","1,696",8,0,95.89%,-3.98%,post,Musical
2023-01-15,The Music Man,Winter Garden Theatre,"$3,589,148.68","$442,984.52",$288.73,$878.00,"12,431","1,525",8,0,101.89%,1.93%,post,Musical
2023-01-15,The Phantom of the Opera,Majestic Theatre,"$2,180,336.67","-$4,948.98",$167.92,$397.00,"12,984","1,605",8,0,101.12%,-0.58%,post,Musical
2023-01-15,The Piano Lesson,Ethel Barrymore Theatre,"$878,566.95","-$108,864.50",$131.62,$348.00,"6,675","1,043",8,0,80.00%,-13.71%,post,Play
2023-01-15,Topdog/Underdog,John Golden Theatre,"$572,922.20","$171,867.20",$95.98,$297.00,"5,969",802,8,0,93.03%,19.67%,post,Play
2023-01-15,Wicked,Gershwin Theatre,"$1,667,292.00","-$315,472.00",$121.21,$275.00,"13,755","1,807",8,0,95.15%,-4.14%,post,Musical
2023-01-08,& Juliet,Stephen Sondheim Theatre,"$1,123,455.30","-$516,332.90",$137.83,$323.00,"8,151","1,026",8,0,99.31%,-0.85%,post,Musical
