date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2019-12-22,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,850,982.50","-$466,673.00",$203.09,$749.00,"9,114","1,302",7,0,100.00%,-0.59%,pre,Musical
2019-12-22,Oklahoma!,Circle in the Square Theatre,"$436,850.50","-$18,891.10",$97.60,$249.50,"4,476",651,8,0,85.94%,-4.57%,pre,Musical
2019-12-22,Slava's Snowshow,Stephen Sondheim Theatre,"$519,534.50","$52,604.00",$94.53,$225.00,"5,496","1,055",8,0,65.12%,0.77%,pre,Special
2019-12-22,Slave Play,John Golden Theatre,"$422,282.00","-$50,584.73",$78.86,$247.00,"5,355",793,8,0,84.41%,-8.13%,pre,Play
2019-12-22,The Book of Mormon,Eugene O'Neill Theatre,"$1,283,044.40","$50,207.40",$153.53,$477.50,"8,357","1,047",8,0,99.77%,-1.32%,pre,Musical
2019-12-22,The Illusionists – Magic Of The Holidays,Neil Simon Theatre,"$963,418.60","$162,272.00",$91.64,$247.00,"10,513","1,376",9,0,84.89%,5.62%,pre,Special
2019-12-22,The Inheritance,Ethel Barrymore Theatre,"$435,154.00","-$125,700.76",$95.68,$347.00,"4,548","1,048",8,0,54.25%,-6.78%,pre,Play
2019-12-22,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,"$386,729.66","$98,503.56",$64.66,$197.00,"5,981","1,073",8,0,69.68%,11.14%,pre,Musical
2019-12-22,The Lion King,Minskoff Theatre,"$2,254,345.00","$170,025.00",$175.05,$397.00,"12,878","1,696",8,0,94.91%,0.45%,pre,Musical
2019-12-22,The Phantom of the Opera,Majestic Theatre,"$1,166,762.98","$197,663.28",$108.04,$247.00,"10,799","1,605",8,0,84.10%,5.87%,pre,Musical
2019-12-22,The Sound Inside,Studio 54,"$400,572.00","-$99,488.00",$77.74,$275.00,"5,153",998,8,0,64.54%,-3.16%,pre,Play
2019-12-22,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$1,701,255.00","$34,398.00",$143.43,$373.00,"11,861","1,478",8,0,100.31%,-0.36%,pre,Musical
2019-12-22,To Kill A Mockingbird,Sam S. Shubert Theatre,"$1,832,306.14","-$42,174.94",$159.10,$497.00,"11,517","1,435",8,0,100.32%,-0.11%,pre,Play
2019-12-22,Tootsie,Marquis Theatre,"$782,540.70","-$229,707.10",$95.56,$297.00,"8,189","1,602",8,0,63.90%,-17.34%,pre,Musical
2019-12-22,Waitress,Brooks Atkinson Theatre,"$974,404.00","$17,699.30",$119.97,$297.00,"8,122","1,045",8,0,97.15%,0.04%,pre,Musical
2019-12-22,West Side Story,Broadway Theatre,"$1,497,319.00","$242,879.00",$122.93,$448.00,"12,180","1,740",0,7,100.00%,0.00%,pre,Musical
2019-12-22,Wicked,Gershwin Theatre,"$2,401,820.00","$379,611.00",$155.88,$240.00,"15,408","1,926",8,0,100.00%,2.01%,pre,Musical
2019-12-15,A Christmas Carol,Lyceum Theatre,"$822,983.07","$65,281.07",$124.34,$313.00,"6,619",848,8,0,97.57%,6.71%,pre,Play
2019-12-15,Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,"$1,671,950.91","-$38,117.22",$149.28,$397.00,"11,200","1,424",8,0,98.31%,0.97%,pre,Musical
2019-12-15,Aladdin,New Amsterdam Theatre,"$1,372,694.20","-$125,693.70",$105.43,$279.50,"13,020","1,727",8,0,94.24%,-2.92%,pre,Musical
2019-12-15,Beetlejuice,Winter Garden Theatre,"$1,182,899.14","$106,399.34",$101.40,$323.00,"11,666","1,493",8,0,97.67%,6.22%,pre,Musical
2019-12-15,Chicago,Ambassador Theatre,"$635,283.70","-$45,916.75",$88.15,$197.00,"7,207","1,080",8,0,83.41%,-3.63%,pre,Musical
2019-12-15,Come From Away,Gerald Schoenfeld Theatre,"$1,071,077.91","-$1,365.09",$125.92,$297.00,"8,506","1,046",8,0,101.65%,0.50%,pre,Musical
2019-12-15,David Byrne's American Utopia,Hudson Theatre,"$1,037,759.25","$10,291.25",$180.29,$329.00,"5,756",961,6,0,99.83%,0.35%,pre,Special
2019-12-15,Dear Evan Hansen,Music Box Theatre,"$1,106,852.76","$69,168.02",$138.91,$297.00,"7,968",984,8,0,101.22%,2.25%,pre,Musical
2019-12-15,Derren Brown: Secret,Cort Theatre,"$434,617.00","-$12,640.00",$95.54,$297.00,"4,549","1,016",7,0,63.96%,-0.56%,pre,Special
2019-12-15,Freestyle Love Supreme,Booth Theatre,"$695,317.00",$20.50,$128.64,$297.00,"5,405",765,8,0,88.32%,2.88%,pre,Special
2019-12-15,Frozen,St. James Theatre,"$1,169,837.70","-$26,627.80",$90.36,$217.50,"12,947","1,684",8,0,96.10%,-3.02%,pre,Musical
2019-12-15,Hadestown,Walter Kerr Theatre,"$1,382,018.00","-$22,838.75",$186.11,$499.00,"7,426",918,8,0,101.12%,0.10%,pre,Musical
2019-12-15,Hamilton,Richard Rodgers Theatre,"$2,769,865.00","-$290,820.00",$258.05,$847.00,"10,734","1,324",8,0,101.34%,-0.22%,pre,Musical
2019-12-15,"Harry Connick, Jr.—A Celebration of Cole Porter",Nederlander Theatre,"$1,332,596.00","$891,355.00",$148.13,$355.00,"8,996","1,200",5,3,93.71%,-0.54%,pre,Special
2019-12-15,Harry Potter and the Cursed Child,Lyric Theatre,"$1,112,146.00","$53,096.00",$85.71,$296.50,"12,976","1,622",8,0,100.00%,0.00%,pre,Play
2019-12-15,Jagged Little Pill,Broadhurst Theatre,"$1,096,220.10","$97,745.20",$123.09,$397.00,"8,906","1,125",8,0,98.96%,1.26%,pre,Musical
2019-12-15,Mean Girls,August Wilson Theatre,"$1,038,345.00",-$701.00,$110.50,$249.50,"9,397","1,225",8,0,95.89%,2.04%,pre,Musical
2019-12-15,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$2,317,655.50","-$17,894.00",$221.21,$499.00,"10,477","1,302",8,0,100.59%,-0.04%,pre,Musical
2019-12-15,Oklahoma!,Circle in the Square Theatre,"$455,741.60","-$49,530.70",$96.68,$249.50,"4,714",651,8,0,90.51%,-0.20%,pre,Musical
2019-12-15,Slava's Snowshow,Stephen Sondheim Theatre,"$466,930.50","$17,369.00",$85.98,$225.00,"5,431","1,055",8,0,64.35%,-1.30%,pre,Special
2019-12-15,Slave Play,John Golden Theatre,"$472,866.73","$70,004.73",$80.54,$247.00,"5,871",793,8,0,92.54%,11.85%,pre,Play
2019-12-15,The Book of Mormon,Eugene O'Neill Theatre,"$1,232,837.00","$36,045.00",$145.60,$477.50,"8,467","1,047",8,0,101.09%,0.49%,pre,Musical
2019-12-15,The Illusionists – Magic Of The Holidays,Neil Simon Theatre,"$801,146.60","$47,497.70",$91.81,$227.00,"8,726","1,376",8,0,79.27%,-0.07%,pre,Special
2019-12-15,The Inheritance,Ethel Barrymore Theatre,"$560,854.76","-$62,799.24",$109.61,$347.00,"5,117","1,048",8,0,61.03%,-4.13%,pre,Play
2019-12-15,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,"$288,226.10","-$7,782.54",$57.36,$197.00,"5,025","1,073",8,0,58.54%,1.19%,pre,Musical
2019-12-15,The Lion King,Minskoff Theatre,"$2,084,320.00","-$95,813.00",$162.63,$297.00,"12,816","1,696",8,0,94.46%,1.34%,pre,Musical
2019-12-15,The Phantom of the Opera,Majestic Theatre,"$969,099.70","$9,759.36",$96.48,$247.00,"10,045","1,605",8,0,78.23%,-1.33%,pre,Musical
2019-12-15,The Sound Inside,Studio 54,"$500,060.00","-$37,332.50",$92.52,$275.00,"5,405",998,8,0,67.70%,-3.25%,pre,Play
2019-12-15,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$1,666,857.00","$12,504.00",$140.04,$373.00,"11,903","1,478",8,0,100.67%,-0.12%,pre,Musical
2019-12-15,To Kill A Mockingbird,Sam S. Shubert Theatre,"$1,874,481.08","-$62,734.92",$162.59,$497.00,"11,529","1,435",8,0,100.43%,-0.33%,pre,Play
2019-12-15,Tootsie,Marquis Theatre,"$1,012,247.80","-$82,527.00",$97.22,$247.00,"10,412","1,602",8,0,81.24%,1.47%,pre,Musical
2019-12-15,Waitress,Brooks Atkinson Theatre,"$956,704.70","$72,572.50",$117.85,$350.00,"8,118","1,045",8,0,97.11%,6.44%,pre,Musical
2019-12-15,West Side Story,Broadway Theatre,"$1,254,440.00",$0.00,$120.16,$373.00,"10,440","1,740",0,6,100.00%,0.00%,pre,Musical
2019-12-15,Wicked,Gershwin Theatre,"$2,022,209.00","$92,931.00",$133.94,$240.00,"15,098","1,926",8,0,97.99%,0.74%,pre,Musical
2019-12-08,A Christmas Carol,Lyceum Theatre,"$757,702.00","$22,956.86",$122.92,$313.00,"6,164",848,8,0,90.86%,12.40%,pre,Play
2019-12-08,Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,"$1,710,068.13","$113,650.01",$154.21,$397.00,"11,089","1,424",8,0,97.34%,1.92%,pre,Musical
2019-12-08,Aladdin,New Amsterdam Theatre,"$1,498,387.90","-$238,843.90",$111.63,$279.50,"13,423","1,727",8,0,97.16%,0.25%,pre,Musical
2019-12-08,Beetlejuice,Winter Garden Theatre,"$1,076,499.80","-$513,339.10",$98.55,$323.00,"10,923","1,493",8,0,91.45%,-9.87%,pre,Musical
2019-12-08,Betrayal,Bernard B. Jacobs Theatre,"$826,146.96","$202,716.10",$109.24,$248.00,"7,563","1,036",8,0,91.25%,14.77%,pre,Play
2019-12-08,Chicago,Ambassador Theatre,"$681,200.45","-$26,372.11",$90.59,$197.00,"7,520","1,080",8,0,87.04%,-4.44%,pre,Musical
2019-12-08,Come From Away,Gerald Schoenfeld Theatre,"$1,072,443.00","-$130,077.04",$126.71,$297.00,"8,464","1,046",8,0,101.15%,-0.68%,pre,Musical
2019-12-08,David Byrne's American Utopia,Hudson Theatre,"$1,027,468.00","$13,479.75",$179.13,$329.00,"5,736",961,6,0,99.48%,0.54%,pre,Special
2019-12-08,Dear Evan Hansen,Music Box Theatre,"$1,037,684.74","-$314,724.31",$133.19,$297.00,"7,791",984,8,0,98.97%,-2.53%,pre,Musical
2019-12-08,Derren Brown: Secret,Cort Theatre,"$447,257.00","-$126,553.70",$97.46,$297.00,"4,589","1,016",7,0,64.52%,-6.63%,pre,Special
2019-12-08,Freestyle Love Supreme,Booth Theatre,"$695,296.50","-$77,648.28",$132.97,$297.00,"5,229",765,8,0,85.44%,0.29%,pre,Special
2019-12-08,Frozen,St. James Theatre,"$1,196,465.50","-$442,064.90",$89.60,$217.50,"13,354","1,684",8,0,99.12%,0.35%,pre,Musical
2019-12-08,Hadestown,Walter Kerr Theatre,"$1,404,856.75","-$218,162.75",$189.36,$499.00,"7,419",918,8,0,101.02%,-0.26%,pre,Musical
2019-12-08,Hamilton,Richard Rodgers Theatre,"$3,060,685.00","-$319,031.00",$284.53,$847.00,"10,757","1,324",8,0,101.56%,0.01%,pre,Musical
2019-12-08,"Harry Connick, Jr.—A Celebration of Cole Porter",Nederlander Theatre,"$441,241.00",$0.00,$195.07,$355.00,"2,262","1,200",0,2,94.25%,0.00%,pre,Special
2019-12-08,Harry Potter and the Cursed Child,Lyric Theatre,"$1,059,050.00","-$398,044.50",$81.62,$296.50,"12,976","1,622",8,0,100.00%,0.00%,pre,Play
2019-12-08,Jagged Little Pill,Broadhurst Theatre,"$998,474.90","$62,609.50",$113.55,$397.00,"8,793","1,125",5,3,97.70%,1.57%,pre,Musical
2019-12-08,Mean Girls,August Wilson Theatre,"$1,039,046.00","-$189,848.60",$112.98,$249.50,"9,197","1,225",8,0,93.85%,10.40%,pre,Musical
2019-12-08,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$2,335,549.50","-$18,640.50",$222.82,$499.00,"10,482","1,302",8,0,100.63%,-0.05%,pre,Musical
2019-12-08,Oklahoma!,Circle in the Square Theatre,"$505,272.30","-$4,567.32",$106.96,$249.50,"4,724",651,8,0,90.71%,6.57%,pre,Musical
2019-12-08,Slava's Snowshow,Stephen Sondheim Theatre,"$449,561.50","-$83,156.60",$81.13,$225.00,"5,541","1,055",8,0,65.65%,-7.24%,pre,Special
2019-12-08,Slave Play,John Golden Theatre,"$402,862.00","$7,497.36",$78.70,$247.00,"5,119",793,8,0,80.69%,8.09%,pre,Play
2019-12-08,The Book of Mormon,Eugene O'Neill Theatre,"$1,196,792.00","-$69,250.50",$142.04,$477.50,"8,426","1,047",8,0,100.60%,2.87%,pre,Musical
2019-12-08,The Illusionists – Magic Of The Holidays,Neil Simon Theatre,"$753,648.90","-$22,146.90",$86.29,$227.00,"8,734","1,376",8,0,79.34%,10.57%,pre,Special
2019-12-08,The Inheritance,Ethel Barrymore Theatre,"$623,654.00","$112,817.56",$114.16,$347.00,"5,463","1,048",8,0,65.16%,4.34%,pre,Play
2019-12-08,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,"$296,008.64","-$94,320.35",$60.13,$197.00,"4,923","1,073",8,0,57.35%,-2.35%,pre,Musical
2019-12-08,The Lion King,Minskoff Theatre,"$2,180,133.00","-$271,182.00",$172.55,$426.00,"12,635","1,696",8,0,93.12%,-0.92%,pre,Musical
2019-12-08,The Phantom of the Opera,Majestic Theatre,"$959,340.34","-$321,839.02",$93.91,$213.00,"10,216","1,605",8,0,79.56%,-5.21%,pre,Musical
2019-12-08,The Rose Tattoo,American Airlines Theatre,"$547,689.90","$38,840.60",$99.60,$297.00,"5,499",721,8,0,95.34%,0.37%,pre,Play
2019-12-08,The Sound Inside,Studio 54,"$537,392.50","$141,512.00",$94.86,$275.00,"5,665",998,8,0,70.95%,3.99%,pre,Play
2019-12-08,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$1,654,353.00","-$180,283.00",$138.82,$373.00,"11,917","1,478",8,0,100.79%,0.07%,pre,Musical
2019-12-08,To Kill A Mockingbird,Sam S. Shubert Theatre,"$1,937,216.00","-$81,683.36",$167.48,$497.00,"11,567","1,435",8,0,100.76%,0.12%,pre,Play
2019-12-08,Tootsie,Marquis Theatre,"$1,094,774.80","$217,767.30",$107.09,$247.00,"10,223","1,602",8,0,79.77%,20.19%,pre,Musical
2019-12-08,Waitress,Brooks Atkinson Theatre,"$884,132.20",-$517.80,$116.64,$350.00,"7,580","1,045",8,0,90.67%,2.62%,pre,Musical
2019-12-08,Wicked,Gershwin Theatre,"$1,929,278.00","-$271,499.00",$132.85,$240.00,"14,522","1,867",8,0,97.25%,-2.25%,pre,Musical
2019-12-01,A Christmas Carol,Lyceum Theatre,"$734,745.14","$350,252.39",$122.70,$313.00,"5,988",848,9,0,78.46%,-3.94%,pre,Play
2019-12-01,Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,"$1,596,418.12","$179,496.66",$146.86,$348.00,"10,870","1,424",8,0,95.42%,2.00%,pre,Musical
2019-12-01,Aladdin,New Amsterdam Theatre,"$1,737,231.80","$521,689.90",$129.75,$299.50,"13,389","1,727",8,0,96.91%,2.19%,pre,Musical
2019-12-01,Beetlejuice,Winter Garden Theatre,"$1,589,838.90","$624,279.30",$131.37,$373.00,"12,102","1,493",8,0,101.32%,19.66%,pre,Musical
2019-12-01,Betrayal,Bernard B. Jacobs Theatre,"$623,430.86","$73,994.74",$98.35,$248.00,"6,339","1,036",8,0,76.48%,8.15%,pre,Play
2019-12-01,Chicago,Ambassador Theatre,"$707,572.56","$230,405.31",$89.52,$207.00,"7,904","1,080",8,0,91.48%,24.95%,pre,Musical
2019-12-01,Come From Away,Gerald Schoenfeld Theatre,"$1,202,520.04","$269,577.16",$141.12,$397.00,"8,521","1,046",8,0,101.83%,0.48%,pre,Musical
2019-12-01,David Byrne's American Utopia,Hudson Theatre,"$1,013,988.25","$81,207.75",$177.74,$329.00,"5,705",961,6,0,98.94%,0.03%,pre,Special
2019-12-01,Dear Evan Hansen,Music Box Theatre,"$1,352,409.05","$383,112.53",$169.26,$297.00,"7,990",984,8,0,101.50%,5.70%,pre,Musical
2019-12-01,Derren Brown: Secret,Cort Theatre,"$573,810.70","$210,210.90",$113.40,$297.00,"5,060","1,016",7,0,71.15%,10.13%,pre,Special
2019-12-01,Freestyle Love Supreme,Booth Theatre,"$772,944.78","$7,355.78",$148.33,$347.00,"5,211",765,8,0,85.15%,-4.51%,pre,Special
2019-12-01,Frozen,St. James Theatre,"$1,638,530.40","$538,643.40",$123.14,$227.50,"13,306","1,684",8,0,98.77%,6.95%,pre,Musical
2019-12-01,Hadestown,Walter Kerr Theatre,"$1,623,019.50","$386,855.75",$218.21,$499.00,"7,438",918,8,0,101.28%,1.76%,pre,Musical
2019-12-01,Hamilton,Richard Rodgers Theatre,"$3,379,716.00","$725,327.00",$314.22,$996.00,"10,756","1,324",8,0,101.55%,0.18%,pre,Musical
2019-12-01,Harry Potter and the Cursed Child,Lyric Theatre,"$1,457,094.50","$526,104.50",$112.29,$296.50,"12,976","1,622",8,0,100.00%,0.00%,pre,Play
2019-12-01,Jagged Little Pill,Broadhurst Theatre,"$935,865.40","$33,721.80",$108.17,$397.00,"8,652","1,125",0,8,96.13%,4.17%,pre,Musical
2019-12-01,Mean Girls,August Wilson Theatre,"$1,228,894.60","$365,429.80",$150.27,$249.50,"8,178","1,225",8,0,83.45%,-0.23%,pre,Musical
2019-12-01,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$2,354,190.00","$295,721.00",$224.49,$499.00,"10,487","1,302",8,0,100.68%,0.21%,pre,Musical
2019-12-01,Oklahoma!,Circle in the Square Theatre,"$509,839.62","$163,413.42",$116.35,$249.50,"4,382",651,8,0,84.14%,6.87%,pre,Musical
2019-12-01,Slava's Snowshow,Stephen Sondheim Theatre,"$532,718.10","$143,904.10",$86.59,$225.00,"6,152","1,055",8,0,72.89%,4.51%,pre,Special
2019-12-01,Slave Play,John Golden Theatre,"$395,364.64","$6,654.64",$85.84,$225.00,"4,606",793,8,0,72.60%,-8.48%,pre,Play
2019-12-01,The Book of Mormon,Eugene O'Neill Theatre,"$1,266,042.50","$277,154.30",$154.66,$477.50,"8,186","1,047",8,0,97.73%,-1.15%,pre,Musical
2019-12-01,The Great Society,Vivian Beaumont Theater,"$330,992.50","-$24,456.50",$63.02,$225.00,"5,252","1,060",8,0,61.93%,-0.13%,pre,Play
2019-12-01,The Illusionists – Magic Of The Holidays,Neil Simon Theatre,"$775,795.80",$0.00,$117.12,$229.00,"6,624","1,376",7,0,68.77%,0.00%,pre,Special
2019-12-01,The Inheritance,Ethel Barrymore Theatre,"$510,836.44","-$138,400.56",$100.18,$347.00,"5,099","1,048",8,0,60.82%,-11.20%,pre,Play
2019-12-01,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,"$390,328.99","$149,165.32",$76.16,$197.00,"5,125","1,073",8,0,59.70%,10.66%,pre,Musical
2019-12-01,The Lion King,Minskoff Theatre,"$2,451,315.00","$604,496.00",$192.12,$434.00,"12,759","1,696",8,0,94.04%,2.08%,pre,Musical
2019-12-01,The Phantom of the Opera,Majestic Theatre,"$1,281,179.36","$564,426.86",$117.70,$247.00,"10,885","1,605",8,0,84.77%,21.13%,pre,Musical
2019-12-01,The Rose Tattoo,American Airlines Theatre,"$508,849.30","$27,300.20",$92.89,$297.00,"5,478",721,8,0,94.97%,1.23%,pre,Play
2019-12-01,The Sound Inside,Studio 54,"$395,880.50","-$76,952.00",$84.63,$275.00,"4,678",998,7,0,66.96%,3.56%,pre,Play
2019-12-01,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$1,834,636.00","$227,557.00",$154.05,$373.00,"11,909","1,478",8,0,100.72%,-0.02%,pre,Musical
2019-12-01,To Kill A Mockingbird,Sam S. Shubert Theatre,"$2,018,899.36","$352,891.36",$174.75,$497.00,"11,553","1,435",8,0,100.64%,0.49%,pre,Play
2019-12-01,Tootsie,Marquis Theatre,"$877,007.50","$156,293.00",$114.85,$297.00,"7,636","1,602",8,0,59.58%,-4.15%,pre,Musical
2019-12-01,Waitress,Brooks Atkinson Theatre,"$884,650.00","$234,576.00",$120.18,$350.00,"7,361","1,045",8,0,88.05%,3.96%,pre,Musical
2019-12-01,Wicked,Gershwin Theatre,"$2,200,777.00","$615,362.00",$153.01,$240.00,"14,383","1,807",8,0,99.50%,5.77%,pre,Musical
2019-11-24,A Christmas Carol,Lyceum Theatre,"$384,492.75","$126,967.75",$68.78,$297.00,"5,590",848,7,1,82.40%,20.58%,pre,Play
2019-11-24,Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,"$1,416,921.46","-$23,106.10",$133.14,$323.00,"10,642","1,424",8,0,93.42%,0.62%,pre,Musical
2019-11-24,Aladdin,New Amsterdam Theatre,"$1,215,541.90","$101,535.20",$92.88,$227.50,"13,087","1,727",8,0,94.72%,2.30%,pre,Musical
2019-11-24,Beetlejuice,Winter Garden Theatre,"$965,559.60",$395.30,$99.00,$323.00,"9,753","1,493",8,0,81.66%,-2.03%,pre,Musical
2019-11-24,Betrayal,Bernard B. Jacobs Theatre,"$549,436.12","-$75,139.36",$97.02,$248.00,"5,663","1,036",8,0,68.33%,-7.00%,pre,Play
2019-11-24,Chicago,Ambassador Theatre,"$477,167.25","-$31,640.75",$83.01,$197.00,"5,748","1,080",8,0,66.53%,-3.70%,pre,Musical
2019-11-24,Come From Away,Gerald Schoenfeld Theatre,"$932,942.88","-$19,249.88",$110.00,$297.00,"8,481","1,046",8,0,101.35%,-0.10%,pre,Musical
2019-11-24,David Byrne's American Utopia,Hudson Theatre,"$932,780.50","-$18,630.75",$163.56,$329.00,"5,703",961,6,0,98.91%,-0.40%,pre,Special
2019-11-24,Dear Evan Hansen,Music Box Theatre,"$969,296.52","-$47,623.96",$128.54,$297.00,"7,541",984,8,0,95.80%,-1.10%,pre,Musical
2019-11-24,Derren Brown: Secret,Cort Theatre,"$363,599.80","-$37,512.90",$83.78,$297.00,"4,340","1,016",7,0,61.02%,-5.77%,pre,Special
2019-11-24,Freestyle Love Supreme,Booth Theatre,"$765,589.00","$45,354.50",$139.53,$297.00,"5,487",765,8,0,89.66%,1.49%,pre,Special
2019-11-24,Frozen,St. James Theatre,"$1,099,887.00","$141,438.20",$88.92,$252.50,"12,370","1,684",8,0,91.82%,3.07%,pre,Musical
2019-11-24,Hadestown,Walter Kerr Theatre,"$1,236,163.75","-$77,061.25",$169.13,$499.00,"7,309",918,8,0,99.52%,-0.32%,pre,Musical
2019-11-24,Hamilton,Richard Rodgers Theatre,"$2,654,389.00","-$111,461.00",$247.22,$847.00,"10,737","1,324",8,0,101.37%,0.05%,pre,Musical
2019-11-24,Harry Potter and the Cursed Child,Lyric Theatre,"$930,990.00","-$10,259.00",$71.75,$296.50,"12,976","1,622",8,0,100.00%,0.00%,pre,Play
2019-11-24,Jagged Little Pill,Broadhurst Theatre,"$902,143.60","-$97,902.50",$109.01,$397.00,"8,276","1,125",0,8,91.96%,-6.25%,pre,Musical
2019-11-24,Mean Girls,August Wilson Theatre,"$863,464.80","$80,685.70",$105.29,$249.50,"8,201","1,225",8,0,83.68%,-0.84%,pre,Musical
2019-11-24,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$2,058,469.00","-$96,712.50",$196.70,$499.00,"10,465","1,302",8,0,100.47%,0.01%,pre,Musical
2019-11-24,Oklahoma!,Circle in the Square Theatre,"$346,426.20","-$32,642.90",$86.09,$249.50,"4,024",651,8,0,77.27%,-0.88%,pre,Musical
2019-11-24,Slava's Snowshow,Stephen Sondheim Theatre,"$388,814.00","$109,267.00",$67.37,$225.00,"5,771","1,055",8,0,68.38%,-12.31%,pre,Special
2019-11-24,Slave Play,John Golden Theatre,"$388,710.00","-$16,191.00",$75.57,$247.00,"5,144",793,8,0,81.08%,-2.20%,pre,Play
2019-11-24,The Book of Mormon,Eugene O'Neill Theatre,"$988,888.20","-$44,832.95",$119.40,$477.50,"8,282","1,047",8,0,98.88%,0.59%,pre,Musical
2019-11-24,The Great Society,Vivian Beaumont Theater,"$355,449.00","-$24,569.50",$67.54,$225.00,"5,263","1,060",8,0,62.06%,2.40%,pre,Play
2019-11-24,The Height of the Storm,Samuel J. Friedman Theatre,"$191,162.00","-$60,213.50",$51.92,$279.00,"3,682",643,8,0,71.58%,-0.35%,pre,Play
2019-11-24,The Inheritance,Ethel Barrymore Theatre,"$649,237.00","$139,211.50",$107.53,$347.00,"6,038","1,048",8,0,72.02%,-13.02%,pre,Play
2019-11-24,The Lightning Thief: The Percy Jackson Musical,Longacre Theatre,"$241,163.67","-$13,899.91",$57.28,$197.00,"4,210","1,073",8,0,49.04%,2.00%,pre,Musical
2019-11-24,The Lion King,Minskoff Theatre,"$1,846,819.00","$190,898.00",$148.02,$426.00,"12,477","1,696",8,0,91.96%,-0.25%,pre,Musical
2019-11-24,The Phantom of the Opera,Majestic Theatre,"$716,752.50","-$51,480.40",$87.72,$213.00,"8,171","1,605",8,0,63.64%,-6.63%,pre,Musical
2019-11-24,The Rose Tattoo,American Airlines Theatre,"$481,549.10","-$25,641.30",$89.06,$297.00,"5,407",721,8,0,93.74%,0.35%,pre,Play
2019-11-24,The Sound Inside,Studio 54,"$472,832.50","-$51,774.00",$93.41,$275.00,"5,062",998,8,0,63.40%,-2.12%,pre,Play
2019-11-24,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$1,607,079.00","$109,558.00",$134.92,$323.00,"11,911","1,478",8,0,100.74%,0.09%,pre,Musical
2019-11-24,To Kill A Mockingbird,Sam S. Shubert Theatre,"$1,666,008.00","-$158,933.30",$144.91,$497.00,"11,497","1,435",8,0,100.15%,-0.10%,pre,Play
2019-11-24,Tootsie,Marquis Theatre,"$720,714.50","-$5,987.20",$88.24,$247.00,"8,168","1,602",8,0,63.73%,-4.19%,pre,Musical
2019-11-24,Waitress,Brooks Atkinson Theatre,"$650,074.00","-$7,699.70",$92.47,$297.00,"7,030","1,045",8,0,84.09%,-2.23%,pre,Musical
2019-11-24,Wicked,Gershwin Theatre,"$1,585,415.00","$261,056.50",$117.00,$240.00,"13,550","1,807",8,0,93.73%,10.73%,pre,Musical
2019-11-17,A Christmas Carol,Lyceum Theatre,"$257,525.00","$151,075.00",$61.40,$297.00,"4,194",848,0,8,61.82%,-3.08%,pre,Play
2019-11-17,Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,"$1,440,027.56","-$79,640.32",$136.21,$323.00,"10,572","1,424",8,0,92.80%,-2.20%,pre,Musical
2019-11-17,Aladdin,New Amsterdam Theatre,"$1,114,006.70","-$131,172.80",$87.24,$227.50,"12,769","1,727",8,0,92.42%,-3.82%,pre,Musical
2019-11-17,Beetlejuice,Winter Garden Theatre,"$965,164.30","-$247,570.20",$96.56,$323.00,"9,996","1,493",8,0,83.69%,-13.17%,pre,Musical
2019-11-17,Betrayal,Bernard B. Jacobs Theatre,"$624,575.48","-$72,853.22",$100.04,$248.00,"6,243","1,036",8,0,75.33%,-7.40%,pre,Play
2019-11-17,Chicago,Ambassador Theatre,"$508,808.00","-$152,457.80",$83.85,$197.00,"6,068","1,080",8,0,70.23%,-19.89%,pre,Musical
2019-11-17,Come From Away,Gerald Schoenfeld Theatre,"$952,192.76","-$112,826.24",$112.17,$297.00,"8,489","1,046",8,0,101.45%,-0.67%,pre,Musical
2019-11-17,David Byrne's American Utopia,Hudson Theatre,"$951,411.25","-$14,006.75",$166.16,$329.00,"5,726",961,6,0,99.31%,-0.33%,pre,Special
2019-11-17,Dear Evan Hansen,Music Box Theatre,"$1,016,920.48","-$72,066.07",$133.31,$297.00,"7,628",984,8,0,96.90%,-4.50%,pre,Musical
2019-11-17,Derren Brown: Secret,Cort Theatre,"$401,112.70","$6,817.70",$84.44,$297.00,"4,750","1,016",7,0,66.79%,-3.77%,pre,Special
